,City,Longitude,Latitude,DeltaSeconds
,毫县,116.76,33.86,-778
,凤台,116.71,32.68,-790
,望江,116.69,30.12,-794
,怀宁,116.63,30.41,-809
,蒙城,116.55,33.25,-828
,潜山,116.53,30.62,-833
,六安,116.49,31.73,-842
,岳西,116.36,30.84,-874
,砀山,116.34,34.42,-878
,霍山,116.32,31.38,-883
,太湖,116.27,30.42,-895
,霍丘,116.27,32.32,-895
,颖上,116.26,32.62,-898
,涡阳,116.21,33.49,-910
,利辛,116.19,33.12,-914
,宿松,116.13,30.15,-929
,金寨,115.87,31.67,-991
,阜阳,115.81,32.89,-1006
,太和,115.61,33.16,-1054
,阜南,115.6,32.63,-1056
,界首,115.34,33.24,-1118
,临泉,115.24,33.06,-1142
吉林省,珲春,130.35,42.85,2484
,图们,129.83,42.98,2359
,汪清,129.75,43.32,2340
,延吉,129.52,42.93,2285
,和龙,129,42.52,2160
,安图,128.3,42.58,1992
,敦化,128.18,43.35,1963
,长白,128.17,41.43,1961
,蛟河,127.33,43.75,1759
,抚松,127.27,42.33,1745
,舒兰,126.97,44.4,1673
,九台,126.83,44.15,1639
,靖宇,126.8,42.38,1632
,桦甸,126.72,42.97,1613
,永吉,126.57,43.87,1577
,吉林,126.57,43.87,1577
,榆树,126.55,44.83,1572
,浑江,126.4,41.97,1536
,集安,126.17,41.15,1481
,磐石,126.03,42.93,1447
,辉南,126.03,42.68,1447
,通化,125.92,41.49,1421
,柳河,125.7,40.88,1368
,双阳,125.68,43.53,1363
,德惠,125.68,44.52,1363
,海龙,125.65,42.53,1356
,东丰,125.5,42.68,1320
,长春,125.35,43.88,1284
,伊通,125.32,43.33,1277
,农安,125.15,44.45,1236
,辽源,125.15,42.97,1236
,怀德,124.82,43.5,1157
,扶余,124.82,45.2,1157
,四平,124.37,43.17,1049
,梨树,124.33,43.32,1039
,大安,124.18,45.5,1003
,乾安,124.02,45,965
,长岭,123.97,44.3,953
,双辽,123.5,43.52,840
,通榆,123.13,44.82,751
,白城,122.82,45.63,677
,洮安,122.75,45.35,660
福建省,福鼎,120.2,27.34,48
,霞浦,120,26.89,0
,柘荣,119.89,27.25,-26
,平潭,119.78,25.51,-53
,福安,119.65,27.09,-84
,罗源,119.55,26.49,-108
,连江,119.53,26.2,-113
,长乐,119.52,25.96,-115
,宁德,119.52,26.65,-115
,寿宁,119.5,27.47,-120
,福清,119.39,25.73,-146
,周宁,119.36,27.12,-154
,福州,119.3,26.08,-168
,闽侯,119.14,26.16,-206
,莆田,119,25.44,-240
,屏南,118.98,26.92,-245
,永泰,118.95,25.88,-252
,闽清,118.86,26.21,-274
,政和,118.85,27.38,-276
,惠安,118.78,25.04,-293
,松溪,118.77,27.53,-295
,吉田,118.74,26.59,-302
,仙游,118.7,25.37,-312
,泉州,118.58,24.93,-341
,晋江,118.57,24.82,-343
,浦城,118.55,27.92,-348
,南安,118.39,24.96,-386
,金门,118.34,24.43,-398
,建瓯,118.32,27.05,-403
,永春,118.3,25.34,-408
,德化,118.24,25.5,-422
,安溪,118.18,25.07,-437
,龙溪,118.17,26.18,-439
,南平,118.16,26.65,-442
,同安,118.15,24.74,-444
,厦门,118.1,24.46,-456
,崇安,118.02,27.76,-475
,大田,117.83,25.69,-521
,顺昌,117.8,26.8,-528
,龙海,117.79,24.44,-530
,沙县,117.77,26.41,-535
,长泰,117.75,24.62,-540
,三明,117.61,26.23,-574
,漳浦,117.61,24.12,-574
,华安,117.53,25,-593
,邵武,117.48,27.34,-605
,将乐,117.45,26.73,-612
,东山,117.4,23.72,-624
,漳平,117.4,25.3,-624
,永安,117.37,25.97,-631
,漳州,117.35,24.52,-636
,南靖,117.35,24.51,-636
,云霄,117.34,23.99,-638
,光泽,117.34,27.54,-638
,平和,117.3,24.38,-648
,明溪,117.18,26.36,-677
,诏安,117.16,23.73,-682
,泰宁,117.15,26.92,-684
,龙岩,117.01,25.12,-718
,建宁,116.82,26.85,-763
,清流,116.81,26.12,-766
,永定,116.81,24.76,-766
,连城,116.75,25.72,-780
,宁化,116.64,26.26,-806
,上杭,116.41,25.43,-862
,长汀,116.37,25.85,-871
,武平,116.1,25.11,-936
山西省,灵丘,114.2,39.47,-1392
,天镇,114.08,40.42,-1421
,阳高,113.72,40.38,-1507
,昔阳,113.68,37.62,-1517
,浑源,113.68,39.7,-1517
,平定,113.62,37.79,-1531
,阳泉,113.57,37.85,-1543
,和顺,113.55,37.33,-1548
,平顺,113.43,36.19,-1577
,黎城,113.4,36.56,-1584
,盂县,113.37,38.01,-1591
,左权,113.35,37.07,-1596
,五台,113.32,38.72,-1603
,大同,113.3,40.12,-1608
,繁峙,113.28,39.2,-1613
,陵川,113.27,35.78,-1615
,广灵,113.27,39.75,-1615
,壶关,113.23,35.11,-1625
,潞城,113.22,36.33,-1627
,应县,113.18,39.58,-1637
,寿阳,113.17,37.88,-1639
,怀仁,113.1,39.82,-1656
,长治,113.08,36.18,-1661
,襄垣,113.02,36.55,-1675
,代县,112.97,39.07,-1687
,榆社,112.97,37.08,-1687
,定襄,112.95,38.5,-1692
,高平,112.88,35.48,-1709
,长子,112.87,36.13,-1711
,屯留,112.87,36.32,-1711
,武乡,112.83,36.83,-1721
,晋城,112.83,35.52,-1721
,山阴,112.82,39.52,-1723
,榆次,112.72,37.68,-1747
,忻县,112.7,38.38,-1752
,原平,112.7,38.73,-1752
,沁县,112.68,36.75,-1757
,左云,112.67,40.02,-1759
,阳曲,112.65,38.05,-1764
,太谷,112.53,37.42,-1793
,太原,112.53,37.87,-1793
,朔县,112.42,39.32,-1819
,阳城,112.38,35.84,-1829
,祁县,112.33,37.36,-1841
,右玉,112.33,40.18,-1841
,清徐,112.33,37.62,-1841
,沁源,112.32,36.5,-1843
,宁武,112.28,39,-1853
,安泽,112.2,36.15,-1872
,平遥,112.18,37.2,-1877
,神池,112.17,39.1,-1879
,沁水,112.15,35.67,-1884
,交城,112.14,37.55,-1886
,平鲁,112.12,39.53,-1891
,文水,112.02,37.42,-1915
,静乐,111.9,38.37,-1944
,古县,111.9,36.29,-1944
,介休,111.88,37.03,-1949
,浮山,111.83,35.97,-1961
,五寨,111.82,38.93,-1963
,孝义,111.8,37.12,-1968
,娄烦,111.78,38.05,-1973
,灵石,111.77,36.83,-1975
,汾阳,111.75,37.27,-1980
,霍县,111.72,36.57,-1987
,翼城,111.68,35.73,-1997
,洪洞,111.68,36.25,-1997
,垣曲,111.63,35.3,-2009
,岚县,111.62,38.28,-2011
,绛县,111.58,35.48,-2021
,岢岚,111.58,38.7,-2021
,汾西,111.53,36.63,-2033
,临汾,111.5,36.08,-2040
,偏关,111.47,39.45,-2047
,侯马,111.45,35.03,-2052
,襄汾,111.43,35.86,-2057
,曲沃,111.33,35.63,-2081
,方由,111.24,37.86,-2102
,夏县,111.22,35.12,-2107
,兴县,111.22,38.47,-2107
,新绛,111.22,35.62,-2107
,交口,111.2,36.97,-2112
,闻喜,111.2,35.37,-2112
,平陆,111.2,34.12,-2112
,河曲,111.17,39.38,-2119
,中阳,111.17,37.37,-2119
,离石,111.13,37.53,-2129
,保德,111.09,38.01,-2138
,蒲县,111.07,36.42,-2143
,运城,110.97,35.03,-2167
,稷山,110.97,35.6,-2167
,临县,110.95,37.95,-2172
,柳林,110.85,37.45,-2196
,万荣,110.83,110.83,-2201
,石楼,110.83,37,-2201
,乡宁,110.8,35.97,-2208
,临猗,110.78,35.15,-2213
,大宁,110.72,36.47,-2227
,河津,110.7,35.58,-2232
,芮城,110.68,34.71,-2237
,吉县,110.65,36.12,-2244
,永和,110.64,36.62,-2246
,永济,110.42,34.88,-2299
湖北省,黄梅,115.93,30.09,-977
,英山,115.57,30.75,-1063
,广济,115.56,29.85,-1066
,罗川,115.37,30.79,-1111
,蕲春,115.3,30.24,-1128
,浠水,115.22,30.46,-1147
,阳新,115.22,29.83,-1147
,黄石,115.09,30.2,-1178
,麻城,115,31.17,-1200
,黄冈,114.87,30.44,-1231
,鄂城,114.87,30.38,-1231
,新洲,114.8,31.84,-1248
,红安,114.61,31.29,-1294
,通山,114.52,29.6,-1315
,黄陂,114.36,30.88,-1354
,武昌,114.33,30.35,-1361
,武汉,114.31,30.52,-1366
,咸宁,114.28,29.87,-1373
,大悟,114.09,31.56,-1418
,崇阳,114.04,29.54,-1430
,汉阳,114.02,30.57,-1435
,孝感,113.91,31.92,-1462
,嘉鱼,113.91,29.97,-1462
,蒲圻,113.85,29.71,-1476
,应山,113.81,31.62,-1486
,通城,113.8,29.23,-1488
,云梦,113.73,31.02,-1505
,安陆,113.69,31.25,-1514
,应城,113.6,30.94,-1536
,汉川,113.59,30.63,-1538
,广水,113.48,31.37,-1565
,随州,113.22,31.42,-1627
,京山,113.11,31.03,-1654
,监利,112.9,29.83,-1704
,钟祥,112.58,31.17,-1781
,石首,112.41,29.73,-1822
,沙市,112.24,30.32,-1862
,荆门,112.19,31.02,-1874
,江陵,112.18,30.35,-1877
,襄樊,112.14,30.02,-1886
,宜昌,111.3,30.7,-2088
,十堰,110.79,32.65,-2210
黑龙江省,抚远,134.15,48.33,3396
,饶河,134,46.78,3360
,虎林,133.97,45.75,3353
,同江,132.5,47.67,3000
,宝清,132.17,46.33,2921
,富锦,132.02,47.23,2885
,密山,131.85,45.53,2844
,绥滨,131.83,47.3,2839
,双鸭山,131.17,46.65,2681
,绥芬河,131.17,44.38,2681
,集贤,131.13,46.7,2671
,东宁,131.12,44.07,2669
,鸡东,131.04,45.27,2650
,鸡四,130.97,45.3,2633
,萝北,130.83,47.58,2599
,七台河,130.83,45.82,2599
,桦川,130.68,47.02,2563
,桦南,130.53,46.25,2527
,勃利,130.53,45.75,2527
,穆棱,130.5,44.9,2520
,佳木斯,130.35,46.83,2484
,鹤岗,130.3,47.33,2472
,林口,130.23,45.3,2455
,嘉荫,130,48.93,2400
,汤源,129.92,46.73,2381
,牡丹江,129.58,44.6,2299
,依兰,129.55,46.33,2292
,宁安,129.47,44.35,2273
,海林,129.35,44.57,2244
,伊春,128.92,47.73,2141
,方正,128.8,45.83,2112
,通河,128.7,45.98,2088
,逊克,128.42,49.57,2021
,延寿,128.35,45.47,2004
,铁力,128.08,47.98,1939
,木兰,128.03,45.95,1927
,尚志,127.95,45.22,1908
,黑河,127.53,50.22,1807
,爱辉,127.53,50.22,1807
,庆安,127.5,46.87,1800
,孙吴,127.5,49.22,1800
,宾县,127.48,45.75,1795
,巴彦,127.38,46.08,1771
,五常,127.17,44.93,1721
,绥棱,127.12,47.22,1709
,绥化,127,46.63,1680
,海伦,126.97,47.47,1673
,阿城,126.95,45.52,1668
,通北,126.8,49.76,1632
,哈尔滨,126.63,45.75,1591
,呼玛,126.6,51.72,1584
,呼兰,126.58,46,1579
,望奎,126.5,46.83,1560
,北安,126.5,48.22,1560
,双城,126.32,45.53,1517
,兰西,126.3,46.28,1512
,克东,126.22,48.03,1493
,德都,126.17,48.5,1481
,青岗,126.13,46.68,1471
,拜泉,126.07,47.62,1457
,肇东,125.98,46.07,1435
,明水,125.88,47.18,1411
,克山,125.87,48.03,1409
,安达,125.33,46.42,1279
,依安,125.3,47.92,1272
,肇州,125.25,45.72,1260
,嫩江,125.2,49.17,1248
,肇源,125.07,45.53,1217
,大庆,125.03,46.58,1207
,林甸,124.87,47.18,1169
,讷河,124.85,48.48,1164
,塔河,124.7,52.32,1128
,杜尔伯特,124.44,46.86,1066
,富裕,124.4,47.8,1056
,加格达奇,124.07,50.42,977
,齐齐哈尔,123.97,47.33,953
,甘南,123.48,47.9,835
,泰来,123.45,46.4,828
,龙江,123.18,47.35,763
,漠河,122.37,53.48,569
江西省,玉山,118.25,28.68,-420
,广丰,118.2,28.45,-432
,上饶,117.97,28.47,-487
,婺源,117.83,29.25,-521
,铅山,117.71,28.32,-550
,横峰,117.62,28.42,-571
,德兴,117.58,28.96,-581
,弋阳,117.43,28.42,-617
,景德镇,117.22,29.3,-667
,贵溪,117.2,28.3,-672
,乐平,117.12,28.97,-691
,万年,117.08,28.7,-701
,资溪,117.06,27.7,-706
,鹰潭,117.02,28.23,-715
,黎川,116.91,27.3,-742
,余江,116.82,28.22,-763
,金溪,116.77,27.92,-775
,于干,116.69,28.7,-794
,波阳,116.68,29,-797
,南城,116.62,27.56,-811
,东乡,116.61,28.23,-814
,彭泽,116.56,29.9,-826
,南丰,116.52,27.22,-835
,抚州,116.34,28,-878
,石城,116.32,26.34,-883
,广昌,116.32,26.84,-883
,临川,116.29,27.95,-890
,进贤,116.26,28.37,-898
,湖口,116.23,29.75,-905
,宜黄,116.2,27.55,-912
,都昌,116.19,29.29,-914
,崇仁,116.05,27.75,-948
,星子,116.03,29.47,-953
,瑞金,116.02,25.89,-955
,宁都,116,26.46,-960
,九江,115.97,29.71,-967
,南昌,115.89,28.68,-986
,乐安,115.82,27.44,-1003
,永修,115.82,29.04,-1003
,新建,115.8,28.69,-1008
,会昌,115.79,25.58,-1010
,德安,115.75,29.33,-1020
,丰城,115.7,28.19,-1032
,瑞昌,115.65,29.68,-1044
,寻乌,115.64,24.96,-1046
,安义,115.55,28.86,-1068
,清江,115.54,28.07,-1070
,永丰,115.42,27.33,-1099
,安远,115.41,25.15,-1102
,新干,115.4,27.77,-1104
,于都,115.39,25.96,-1106
,奉新,115.38,28.71,-1109
,高安,115.38,28.42,-1109
,靖安,115.37,28.88,-1111
,兴国,115.33,26.32,-1121
,峡江,115.15,27.56,-1164
,吉水,115.14,27.22,-1166
,武宁,115.09,29.26,-1178
,定南,115.02,24.7,-1195
,吉安,114.97,27.12,-1207
,信丰,114.94,25.39,-1214
,新余,114.92,27.81,-1219
,赣州,114.92,25.85,-1219
,上高,114.91,28.25,-1222
,泰和,114.88,26.81,-1229
,龙南,114.79,24.91,-1250
,宜丰,114.78,28.4,-1253
,万安,114.77,26.47,-1255
,南康,114.75,25.66,-1260
,分宜,114.68,27.82,-1277
,安福,114.62,27.39,-1291
,上犹,114.55,25.8,-1308
,修永,114.55,29.04,-1308
,全南,114.53,24.76,-1313
,遂川,114.5,26.33,-1320
,万载,114.44,28.11,-1334
,宜春,114.38,27.81,-1349
,铜鼓,114.37,28.53,-1351
,大余,114.36,25.39,-1354
,崇义,114.31,25.69,-1366
,永新,114.23,26.96,-1385
,井冈山,114.17,26.57,-1399
,赣县,114.02,25.85,-1435
,宁冈,113.97,26.71,-1447
,莲花,113.94,27.14,-1454
,萍乡,113.85,27.6,-1476
内蒙古,莫力达瓦达斡尔族自治旗,124.5,48.47,1080
,鄂伦春自治旗,123.7,50.58,888
,阿荣旗,123.5,48.13,840
,科尔沁左翼中旗,123.28,44.13,787
,布特哈旗,122.78,47.98,667
,科尔沁左翼后旗,122.35,42.97,564
,通辽,122.28,43.63,547
,乌兰浩特,122.08,46.07,499
,科尔沁右翼前旗,122.03,46.12,487
,库伦旗,121.75,42.72,420
,额尔古纳左旗,121.52,50.8,365
,突泉,121.5,45.4,360
,科尔沁右翼中旗,121.47,45.05,353
,开鲁,121.32,43.62,317
,扎鲁特旗,120.87,44.55,209
,喜桂图旗,120.73,49.3,175
,奈曼旗,120.65,42.85,156
,额尔古纳右旗,120.08,50.45,19
,阿鲁科尔沁旗,120.05,43.97,12
,敖汉旗,119.87,42.3,-31
,鄂温克族自治旗,119.75,49.13,-60
,海拉尔,119.73,49.12,-65
,陈巴尔虎旗,119.45,49.33,-132
,巴林左旗,119.35,43.98,-156
,宁城,119.32,41.62,-163
,翁牛特旗,119,42.97,-240
,赤峰,118.87,42.28,-271
,喀喇沁旗,118.67,41.95,-319
,巴林右旗,118.65,43.52,-324
,新巴尔虎右旗,118.23,48.22,-425
,林西,118.02,43.62,-475
,西乌珠穆沁旗,117.58,44.6,-581
,克什克腾旗,117.48,43.28,-605
,满洲里,117.47,49.58,-607
,东乌珠穆沁旗,116.97,45.53,-727
,新巴尔虎左旗,116.82,48.67,-763
,多伦,116.48,42.18,-845
,阿巴哈纳尔旗,116.08,43.95,-941
,正蓝旗,116.02,42.25,-955
,太仆寺旗,115.3,41.9,-1128
,正镶白旗,115,42.32,-1200
,阿巴嘎旗,114.97,44.03,-1207
,化德,114,41.9,-1440
,兴和,113.97,40.88,-1447
,镶黄旗,113.83,42.25,-1481
,苏尼特左旗,113.7,43.85,-1512
,商都,113.53,41.58,-1553
,察哈尔右翼前旗,113.18,40.78,-1637
,丰镇,113.15,40.45,-1644
,察哈尔右翼后旗,113.15,41.85,-1644
,集宁,113.08,41.03,-1661
,苏尼特右旗,112.95,42.47,-1692
,察哈尔右翼中旗,112.62,41.28,-1771
,卓资,112.52,40.93,-1795
,凉城,112.48,40.52,-1805
,二连浩特,111.96,43.65,-1930
,和林格尔,111.8,40.4,-1968
,四子王旗,111.68,41.37,-1997
,清水河,111.65,39.92,-2004
,呼和浩特,111.65,40.82,-2004
,武川,111.42,41.12,-2059
,托克托,111.15,40.28,-2124
,上默特左旗,111.13,40.72,-2129
,准格尔旗,111.13,39.68,-2129
,上默特右旗,110.52,40.55,-2275
,达尔罕茂明安联合旗,110.42,41.72,-2299
,固阳,110.03,41.03,-2393
,达拉特旗,110.02,40.42,-2395
,包头,110,40.58,-2400
,伊克昭盟,110,39.83,-2400
,东胜县,110,39.83,-2400
,伊金霍洛旗,109.77,39.25,-2455
,乌审旗,109.03,38.38,-2633
,杭锦旗,108.7,39.83,-2712
,乌拉特前旗,108.65,40.75,-2724
,乌拉特后旗,108.52,40.88,-2755
,乌拉特中旗,108.52,41.55,-2755
,五原,108.28,41.12,-2813
,鄂托克旗,107.97,39.12,-2887
,鄂托克前旗,107.43,38.18,-3017
,临河,107.37,40.78,-3031
,杭锦后旗,107.12,40.88,-3091
,磴口,106.98,40.33,-3125
,乌海,106.82,39.67,-3163
,阿拉善左旗,105.68,38.85,-3437
,阿拉善右旗,101.68,39.2,-4397
,额济纳旗,100.88,41.9,-4589
湖南省,宜章,113.96,25.41,-1450
,桂东,113.91,25.08,-1462
,酃县,113.77,26.49,-1495
,汝城,113.68,25.54,-1517
,浏阳,113.63,28.16,-1529
,平江,113.56,29.71,-1546
,茶陵,113.54,26.79,-1550
,醴陵,113.5,27.67,-1560
,临湘,113.42,29.48,-1579
,资兴,113.39,25.95,-1586
,攸县,113.32,27.01,-1603
,安仁,113.27,26.71,-1615
,株洲,113.16,27.83,-1642
,永兴,113.11,26.13,-1654
,岳阳,113.09,29.37,-1658
,泪罗,113.05,28.8,-1668
,郴州,113,25.79,-1680
,长沙,113,28.21,-1680
,郴县,113,25.79,-1680
,衡东,112.95,27.1,-1692
,湘潭,112.91,27.87,-1702
,湘阴,112.87,28.68,-1711
,衡山,112.86,27.25,-1714
,来阳,112.84,26.41,-1718
,望城,112.8,28.37,-1728
,桂阳,112.72,25.73,-1747
,衡南,112.61,26.89,-1774
,衡阳（大，东）,112.61,26.89,-1774
,华容,112.55,29.52,-1788
,临武,112.55,25.27,-1788
,宁乡,112.55,28.27,-1788
,湘乡,112.5,27.75,-1800
,南县,112.39,29.37,-1826
,衡阳（小，西）,112.39,26.98,-1826
,常宁,112.39,26.38,-1826
,沅江,112.36,28.83,-1834
,嘉禾,112.35,25.56,-1836
,益阳,112.33,28.6,-1841
,新田,112.21,25.91,-1870
,双峰,112.18,27.44,-1877
,蓝山,112.16,25.37,-1882
,安乡,112.16,29.41,-1882
,祁东,112.14,26.8,-1886
,桃江,112.11,28.51,-1894
,汉寿,111.97,28.9,-1927
,娄底,111.96,27.71,-1930
,宁远,111.95,25.6,-1932
,津市,111.87,29.64,-1951
,祁阳,111.85,26.59,-1956
,江华,111.79,24.97,-1970
,澧县,111.75,29.65,-1980
,邵东,111.73,27.25,-1985
,常德,111.69,29.05,-1994
,涟源,111.66,27.68,-2002
,双牌,111.64,25.96,-2006
,临澧,111.64,29.44,-2006
,零陵,111.63,26.22,-2009
,永州,111.63,26.22,-2009
,道县,111.57,25.52,-2023
,邵阳,111.5,27.22,-2040
,桃源,111.47,28.9,-2047
,新邵,111.46,27.33,-2050
,冷水江,111.41,27.68,-2062
,石门,111.35,29.59,-2076
,江永,111.33,25.41,-2081
,新化,111.29,27.73,-2090
,东安,111.28,26.41,-2093
,安化,111.2,28.38,-2112
,慈利,111.09,29.41,-2138
,隆回,111.04,27.13,-2150
,新宁,110.84,26.44,-2198
,泸溪,110.73,28.29,-2225
,武冈,110.61,26.73,-2254
,溆浦,110.57,27.92,-2263
,洞口,110.57,27.06,-2263
,大庸,110.48,29.13,-2285
,沅陵,110.39,28.46,-2306
,城步,110.3,26.37,-2328
,辰溪,110.18,28.02,-2357
,桑植,110.16,29.38,-2362
,黔阳,110.14,27.33,-2366
,绥宁,110.14,25.59,-2366
,洪江,109.96,27.1,-2410
,怀化,109.95,27.52,-2412
,古丈,109.91,28.62,-2422
,永顺,109.84,29,-2438
,麻阳,109.79,27.87,-2450
,芷江,109.78,27.44,-2453
,通道,109.77,26.16,-2455
,吉首,109.71,28.3,-2470
,会同,109.71,26.86,-2470
,靖县,109.68,26.57,-2477
,保靖,109.64,28.7,-2486
,花垣,109.46,28.59,-2530
,凤凰,109.43,27.92,-2537
,龙山,109.42,29.64,-2539
,新晃,109.16,27.37,-2602
新疆维吾尔自治区,伊吾,94.65,43.28,-6084
,哈密,93.44,42.78,-6374
,巴里坤,93,43.6,-6480
,青河,90.37,46.71,-7111
,木垒,90.34,43.8,-7118
,鄯善,90.25,42.82,-7140
,奇台,89.52,44.02,-7315
,富蕴,89.44,47.05,-7334
,吐鲁番,89.19,42.91,-7394
,吉木萨尔,89.14,44,-7406
,托克逊,88.63,42.77,-7529
,阿勒泰,88.14,47.86,-7646
,阜康,87.94,44.14,-7694
,乌鲁木齐,87.68,43.77,-7757
,米泉,87.68,43.97,-7757
,福海,87.51,47.15,-7798
,昌吉,87.31,44.05,-7846
,布尔津,86.92,47.7,-7939
,呼图壁,86.92,44.18,-7939
,和硕,86.84,42.23,-7958
,焉耆,86.55,42.05,-8028
,博湖,86.53,41.95,-8033
,哈巴河,86.41,48.05,-8062
,和静,86.35,42.31,-8076
,尉梨,86.24,41.36,-8102
,玛纳斯,86.22,44.28,-8107
,库尔勒,86.06,41.68,-8146
,石河子,85.94,44.27,-8174
,吉木乃,85.84,47.42,-8198
,沙湾,85.56,44.29,-8266
,和布克赛尔,85.13,46.78,-8369
,奎屯,84.89,44.45,-8426
,伊犁,84.8,44.4,-8448
,克拉玛依,84.77,45.59,-8455
,乌苏,84.62,44.45,-8491
,轮台,84.25,41.77,-8580
,额敏,83.62,46.52,-8731
,托里,83.59,45.92,-8738
,新源,83.27,43.41,-8815
,库车,82.97,41.68,-8887
,塔城,82.96,46.74,-8890
,裕民,82.94,46.21,-8894
,精河,82.92,44.67,-8899
,沙雅,82.9,41.25,-8904
,民丰,82.63,37.07,-8969
,新和,82.63,41.55,-8969
,尼勒克,82.53,43.82,-8993
,巩留,82.23,43.35,-9065
,博乐,82.1,44.93,-9096
,拜城,81.84,41.82,-9158
,特克斯,81.81,43.23,-9166
,于田,81.63,36.86,-9209
,伊宁,81.33,43.91,-9281
,察布察尔,81.12,43.82,-9331
,昭苏,81.08,43.15,-9341
,温泉,81.08,44.95,-9341
,霍城,80.87,44.07,-9391
,策勒,80.78,37.04,-9413
,阿瓦提,80.34,40.64,-9518
,阿克苏,80.29,41.15,-9530
,温宿,80.24,41.29,-9542
,洛浦,80.17,37.12,-9559
,和田,79.94,37.12,-9614
,墨玉,79.74,37.31,-9662
,乌什,79.25,41.22,-9780
,柯平,79.06,40.55,-9826
,巴楚,78.59,39.78,-9938
,阿合奇,78.42,41.91,-9979
,皮山,78.29,37.06,-10010
,麦盖提,77.62,38.95,-10171
,叶城,77.42,37.89,-10219
,泽普,77.26,38.2,-10258
,莎车,77.25,38.45,-10260
,枷师,76.78,39.46,-10373
,乐普湖,76.67,39.23,-10399
,英吉沙,76.17,38.91,-10519
,阿图什,76.12,39.73,-10531
,疏勒,76.05,39.41,-10548
,咯什,75.94,39.52,-10574
,阿克陶,75.94,39.14,-10574
,疏附,75.83,39.42,-10601
,塔什库尔干,75.22,37.76,-10747
,乌恰,75.18,39.7,-10757
广东省,南澳,117.03,23.44,-713
,饶平,116.93,23.7,-737
,澄海,116.8,23.48,-768
,大埔,116.7,24.34,-792
,汕头,116.69,23.39,-794
,潮安,116.63,23.68,-809
,潮州,116.63,23.68,-809
,潮阳,116.61,23.27,-814
,揭阳,116.35,23.55,-876
,惠来,116.29,23.07,-890
,丰顺,116.18,23.78,-917
,蕉岭,116.18,24.66,-917
,普宁,116.17,23.29,-919
,梅县,116.1,24.55,-936
,梅州,116.1,24.55,-936
,平远,115.9,24.59,-984
,陆丰,115.84,22.95,-998
,揭西,115.82,23.45,-1003
,兴宁,115.75,24.15,-1020
,五华,115.75,23.93,-1020
,海丰,115.33,22.98,-1121
,龙川,115.25,24.09,-1140
,紫金,115.18,23.64,-1157
,和平,114.89,24.45,-1226
,惠东,114.7,22.97,-1272
,河源,114.68,23.73,-1277
,连平,114.48,24.39,-1325
,惠州,114.4,23.09,-1344
,惠阳,114.4,23.09,-1344
,南雄,114.33,25.14,-1361
,博罗,114.28,23.18,-1373
,龙门,114.25,23.75,-1380
,新十,114.2,24.09,-1392
,翁源,114.13,24.36,-1409
,始兴,114.08,24.78,-1421
,深圳,114.07,22.62,-1423
,宝安,113.85,22.58,-1476
,增城,113.81,23.13,-1486
,东莞,113.75,23.04,-1500
,仁化,113.73,25.11,-1505
,韶关,113.62,24.84,-1531
,曲江,113.58,24.68,-1541
,从化,113.55,23.57,-1548
,佛岗,113.52,23.86,-1555
,珠海,113.52,22.3,-1555
,英德,113.38,24.17,-1589
,中山,113.38,22.52,-1589
,番禺,113.36,22.95,-1594
,乐昌,113.35,25.14,-1596
,斗门,113.25,22.2,-1620
,顺德,113.24,22.84,-1622
,广州,113.23,23.16,-1625
,花县,113.19,23.4,-1634
,南海,113.11,23.05,-1654
,佛山,113.11,23.05,-1654
,江门,113.06,22.61,-1666
,新会,113.02,22.52,-1675
,清远,113.01,23.7,-1678
,鹤山,112.94,22.76,-1694
,三水,112.89,23.18,-1706
,台山,112.78,22.27,-1733
,高明,112.76,21.71,-1738
,四会,112.68,23.36,-1757
,开平,112.68,22.36,-1757
,阳山,112.65,24.48,-1764
,肇庆,112.44,23.05,-1814
,高要,112.44,23.05,-1814
,广宁,112.43,23.14,-1817
,连县,112.4,24.77,-1824
,恩平,112.29,22.21,-1850
,连南,112.28,24.77,-1853
,新兴,112.2,22.68,-1872
,怀集,112.18,23.93,-1877
,连山,112.07,24.59,-1903
,云浮,112.02,22.93,-1915
,阳江,111.95,21.85,-1932
,阳春,111.78,22.16,-1973
,德庆,111.75,23.15,-1980
,罗定,111.56,22.77,-2026
,郁南,111.51,23.23,-2038
,封开,111.48,23.45,-2045
,电白,110.99,21.52,-2162
,信宜,110.9,22.36,-2184
,茂名,110.88,21.68,-2189
,高州,110.83,21.95,-2201
,吴川,110.78,21.43,-2213
,化州,110.59,21.64,-2258
,湛江,110.3,21.2,-2328
,廉江,110.27,21.63,-2335
,遂溪,110.24,21.39,-2342
,徐闻,110.17,20.34,-2359
,海康,110.07,20.91,-2383
,雷州,110.04,20.54,-2390
贵州省,铜仁,109.21,27.73,-2590
,天柱,109.2,26.89,-2592
,万山,109.2,27.52,-2592
,松桃,109.18,28.17,-2597
,锦屏,109.18,26.7,-2597
,黎平,109.14,26.24,-2606
,玉屏,108.91,27.24,-2662
,从江,108.9,25.76,-2664
,江口,108.82,27.68,-2683
,岑巩,108.72,27.21,-2707
,三穗,108.68,26.98,-2717
,剑河,108.58,26.64,-2741
,榕江,108.5,25.94,-2760
,沿河,108.48,28.57,-2765
,镇远,108.41,27.06,-2782
,印江,108.41,28.02,-2782
,台江,108.32,26.68,-2803
